Fiscal Year,Ad Campaign Name,Agency,Org Ad Placed In (Agency submission),Org Ad Placed In (MOECM Standardized),Outlet Channel (Agency submission),Type of Media (MOECM),Language,Spend Amount,Vendor Name,Ad Placement Method,Quarter (MOECM),Ad Start Date,Ad End Date,Purpose
FY23,Affordable Childcare Campaign,ACS,THIKANA,Thikana,Newspaper (Digital),Digital,Bengali,5515,Miller,Placement Vendor,Q2,11/01/2022,11/30/2022,Programmatic: Social Services & Benefits
FY23,Affordable Childcare Campaign,ACS,THIKANA,Thikana,Newspaper (Digital),Digital,Bengali,5697,Miller,Placement Vendor,Q2,12/01/2022,12/31/2022,Programmatic: Social Services & Benefits
FY23,Safe Sleep,ACS,THIKANA,Thikana,Newspaper (Digital),Digital,Bengali,1033,Miller,Placement Vendor,Q3,01/02/2023,01/31/2023,Programmatic: Social Services & Benefits
FY23,Safe Sleep,ACS,THIKANA,Thikana,Newspaper (Digital),Digital,Bengali,967,Miller,Placement Vendor,Q3,02/01/2023,02/28/2023,Programmatic: Public Health
FY23,Child Protective Specialists,ACS,Urdu Times,Urdu Times USA,Newspaper (Digital),Digital,Bengali,2000,Graystone,Placement Vendor,Q3,02/01/2023,02/28/2023,Recruitment
FY23,Agency Attorney 3,ACS,iHireLegal.com,IHIRE,Job Board,Other,"Bengali, French, Korean, Russian, Chinese, Polish",67,Graystone,Placement Vendor,Q1,08/05/2022,09/04/2022,Recruitment
FY23,Affordable Childcare Campaign,ACS,FACEBOOK.COM,Meta,Social Media,Other,"Bengali, Urdu",1615,Miller,Placement Vendor,Q1,08/15/2022,08/31/2022,Programmatic: Social Services & Benefits
FY23,Safe Sleep,ACS,PRODUCTION (RESIZING),Production (Resizing),Other,Other,"Bengali, Urdu",15000,Miller,Placement Vendor,Q3,01/02/2023,01/31/2023,Programmatic: Social Services & Benefits
FY23,O.Jones,ACS,AMNY-METRO,Schneps Media,Newspaper (Print),Print,"Bengali, Urdu",4486,Miller,Placement Vendor,Q3,03/02/2023,03/23/2023,Programmatic: Other
FY23,Agency Attorney 3,ACS,"Idealist.org --action Without Borders, Inc.",Idealist,Job Board,Other,"Bengali, Urdu, Arabic, French, Korean, Russian, Chinese, Polish,",30,Graystone,Placement Vendor,Q1,08/05/2022,09/04/2022,Recruitment
FY23,Safe Sleep,ACS,SING TAO,Sing Tao Daily,Newspaper (Digital),Digital,Chinese,2470,Miller,Placement Vendor,Q3,01/02/2023,01/31/2023,Programmatic: Social Services & Benefits
FY23,Safe Sleep,ACS,SING TAO,Sing Tao Daily,Newspaper (Digital),Digital,Chinese,2530,Miller,Placement Vendor,Q3,02/01/2023,02/28/2023,Programmatic: Public Health
FY23,YDS,ACS,Sing Tao,Sing Tao Daily,Newspaper (Digital),Digital,Chinese,6420,Graystone,Placement Vendor,Q2,10/10/2022,11/09/2022,Recruitment
FY23,Child Protective Specialists,ACS,Sing Tao,Sing Tao Daily,Newspaper (Print),Print,Chinese,4815,Graystone,Placement Vendor,Q2,10/30/2022,11/29/2022,Recruitment
FY23,Child Protective Specialists,ACS,Sing Tao,Sing Tao Daily,Job Board,Other,Chinese,2140,Graystone,Placement Vendor,Q3,01/01/2023,01/07/2023,Recruitment
FY23,Child Protective Specialists,ACS,Sing Tao,Sing Tao Daily,Newspaper (Digital),Digital,Chinese,2140,Graystone,Placement Vendor,Q3,02/01/2023,03/03/2023,Recruitment
FY23,Child Protective Specialists,ACS,Sing Tao,Sing Tao Daily,Newspaper (Print),Print,Chinese,34266,Graystone,Placement Vendor,Q3,03/01/2023,03/31/2023,Recruitment
FY23,Summer Safety,ACS,CHINA PRESS,The China Press,Newspaper (Digital),Digital,Chinese,2050,Miller,Placement Vendor,Q1,08/10/2022,08/31/2022,Programmatic: Social Services & Benefits
FY23,Summer Safety,ACS,CHINA PRESS,The China Press,Newspaper (Digital),Digital,Chinese,653,Miller,Placement Vendor,Q1,09/01/2022,09/07/2022,Programmatic: Social Services & Benefits
FY23,Safe Sleep,ACS,CHINA PRESS,The China Press,Newspaper (Digital),Digital,Chinese,3000,Miller,Placement Vendor,Q2,10/03/2022,10/31/2022,Programmatic: Social Services & Benefits
FY23,Affordable Childcare Campaign,ACS,CHINA PRESS,The China Press,Newspaper (Digital),Digital,Chinese,1392,Miller,Placement Vendor,Q2,10/24/2022,10/31/2022,Programmatic: Social Services & Benefits
FY23,Affordable Childcare Campaign,ACS,CHINA PRESS,The China Press,Newspaper (Digital),Digital,Chinese,5217,Miller,Placement Vendor,Q2,11/01/2022,11/30/2022,Programmatic: Social Services & Benefits
FY23,Affordable Childcare Campaign,ACS,CHINA PRESS,The China Press,Newspaper (Digital),Digital,Chinese,5391,Miller,Placement Vendor,Q2,12/01/2022,12/31/2022,Programmatic: Social Services & Benefits
FY23,Safe Sleep,ACS,CHINA PRESS,The China Press,Newspaper (Digital),Digital,Chinese,1549,Miller,Placement Vendor,Q3,01/02/2023,01/31/2023,Programmatic: Social Services & Benefits
FY23,Safe Sleep,ACS,CHINA PRESS,The China Press,Newspaper (Digital),Digital,Chinese,1451,Miller,Placement Vendor,Q3,02/01/2023,02/28/2023,Programmatic: Public Health
FY23,Safe Sleep,ACS,WORLD JOURNAL,World Journal,Newspaper (Digital),Digital,Chinese,3213,Miller,Placement Vendor,Q3,01/02/2023,01/31/2023,Programmatic: Social Services & Benefits
FY23,Safe Sleep,ACS,WORLD JOURNAL,World Journal,Newspaper (Digital),Digital,Chinese,2787,Miller,Placement Vendor,Q3,02/01/2023,02/28/2023,Programmatic: Public Health
FY23,ATTORNEY INTERNE,ACS,American Bar Association,American Bar Association,Job Board,Other,English,101,Graystone,Placement Vendor,Q2,10/27/2022,11/26/2022,Recruitment
FY23,Agency Attorney I,ACS,American Bar Association,American Bar Association,Job Board,Other,English,101,Graystone,Placement Vendor,Q2,10/27/2022,11/26/2022,Recruitment
FY23,ATTORNEY LEVEL 2,ACS,American Bar Association,American Bar Association,Job Board,Other,English,101,Graystone,Placement Vendor,Q2,10/27/2022,11/26/2022,Recruitment
FY23,559053  Fair Hearings Agency Attorney,ACS,American Bar Association,American Bar Association,Job Board,Other,English,101,Graystone,Placement Vendor,Q2,11/22/2022,12/22/2022,Recruitment
FY23,559055  Fair Hearings Agency Attorney,ACS,American Bar Association,American Bar Association,Job Board,Other,English,101,Graystone,Placement Vendor,Q2,11/22/2022,12/22/2022,Recruitment
FY23,562889 -  Attorney Intern,ACS,American Bar Association,American Bar Association,Job Board,Other,English,101,Graystone,Placement Vendor,Q3,01/26/2023,02/25/2023,Recruitment
FY23,Attorney Level 2,ACS,American Bar Association,American Bar Association,Job Board,Other,English,101,Graystone,Placement Vendor,Q3,01/26/2023,02/25/2023,Recruitment
FY23,565438 - Attorney Intern Fall 2023,ACS,American Bar Association,American Bar Association,Job Board,Other,English,101,Graystone,Placement Vendor,Q3,01/26/2023,02/25/2023,Recruitment
FY23,Audit Nurse,ACS,CAREERMART - American Public Health Association - NHCN,American Public Health Association,Job Board,Other,English,95,Graystone,Placement Vendor,Q2,11/02/2022,12/02/2022,Recruitment
FY23,J. Courtemanche,ACS,BROOKLYN DAILY BULLETIN/EAGLE,Brooklyn Eagle,Newspaper (Print),Print,English,268,Miller,Placement Vendor,Q4,05/19/2023,06/09/2023,Programmatic: Other
FY23,562889 -  Attorney Intern,ACS,CAREERBUILDER.COM,CareerBuilder,Job Board,Other,English,69,Graystone,Placement Vendor,Q3,01/26/2023,02/25/2023,Recruitment
FY23,Attorney Level 2,ACS,CAREERBUILDER.COM,CareerBuilder,Job Board,Other,English,69,Graystone,Placement Vendor,Q3,01/26/2023,02/25/2023,Recruitment
FY23,565438 - Attorney Intern Fall 2023,ACS,CAREERBUILDER.COM,CareerBuilder,Job Board,Other,English,69,Graystone,Placement Vendor,Q3,01/26/2023,02/25/2023,Recruitment
FY23,D. Pompey/ J. Ferguson/ N. Harris,ACS,CHELSEA CLINTON NOW,Chelsea Clinton Now,Newspaper (Print),Print,English,838,Miller,Placement Vendor,Q3,03/23/2023,04/13/2023,Programmatic: Other
FY23,ATTORNEY INTERNE,ACS,City and State,City & State New York,Job Board,Other,English,40,Graystone,Placement Vendor,Q2,10/26/2022,11/25/2022,Recruitment
FY23,Agency Attorney I,ACS,City and State,City & State New York,Job Board,Other,English,40,Graystone,Placement Vendor,Q2,10/26/2022,11/25/2022,Recruitment
FY23,ATTORNEY LEVEL 2,ACS,City and State,City & State New York,Job Board,Other,English,40,Graystone,Placement Vendor,Q2,10/26/2022,11/25/2022,Recruitment
FY23,Executive Director of Intergovernmental Affairs,ACS,City and State,City & State New York,Job Board,Other,English,40,Graystone,Placement Vendor,Q2,10/28/2022,11/27/2022,Recruitment
FY23,"DIRECTOR, RESEARCH PARTNERSHIPS",ACS,City and State,City & State New York,Job Board,Other,English,40,Graystone,Placement Vendor,Q2,11/01/2022,12/01/2022,Recruitment
FY23,MDM Engineer,ACS,City and State,City & State New York,Job Board,Other,English,40,Graystone,Placement Vendor,Q2,11/14/2022,12/14/2022,Recruitment
FY23,559053  Fair Hearings Agency Attorney,ACS,City and State,City & State New York,Job Board,Other,English,40,Graystone,Placement Vendor,Q2,11/22/2022,12/22/2022,Recruitment
FY23,559055  Fair Hearings Agency Attorney,ACS,City and State,City & State New York,Job Board,Other,English,40,Graystone,Placement Vendor,Q2,11/22/2022,12/22/2022,Recruitment
FY23,Deputy Director of Security,ACS,City and State,City & State New York,Job Board,Other,English,40,Graystone,Placement Vendor,Q2,12/13/2022,01/12/2023,Recruitment
FY23,SIP Planning Associate,ACS,City and State,City & State New York,Job Board,Other,English,40,Graystone,Placement Vendor,Q3,01/16/2023,02/15/2023,Recruitment
FY23,Cook Helper,ACS,City and State,City & State New York,Job Board,Other,English,45,Graystone,Placement Vendor,Q3,01/24/2023,02/23/2023,Recruitment
FY23,Senior Research Analyst,ACS,City and State,City & State New York,Job Board,Other,English,53,Graystone,Placement Vendor,Q3,02/07/2023,03/09/2023,Recruitment
FY23,"Deputy Director, Staffing Management",ACS,City and State,City & State New York,Job Board,Other,English,53,Graystone,Placement Vendor,Q3,03/02/2023,04/01/2023,Recruitment
FY23,Director of Security,ACS,City and State,City & State New York,Job Board,Other,English,53,Graystone,Placement Vendor,Q3,03/07/2023,04/06/2023,Recruitment
FY23,Audit Nurse,ACS,City and State,City & State New York,Job Board,Other,English,45,Graystone,Placement Vendor,Q4,05/02/2023,06/01/2023,Recruitment
FY23,ATTORNEY INTERNE,ACS,City Limits,City Limits,Job Board,Other,English,45,Graystone,Placement Vendor,Q2,10/26/2022,11/25/2022,Recruitment
FY23,Agency Attorney I,ACS,City Limits,City Limits,Job Board,Other,English,45,Graystone,Placement Vendor,Q2,10/26/2022,11/25/2022,Recruitment
FY23,ATTORNEY LEVEL 2,ACS,City Limits,City Limits,Job Board,Other,English,45,Graystone,Placement Vendor,Q2,10/26/2022,11/25/2022,Recruitment
FY23,"DIRECTOR, RESEARCH PARTNERSHIPS",ACS,City Limits,City Limits,Job Board,Other,English,45,Graystone,Placement Vendor,Q2,11/01/2022,12/01/2022,Recruitment
FY23,RA SPECIALIST,ACS,City Limits,City Limits,Job Board,Other,English,45,Graystone,Placement Vendor,Q2,11/14/2022,12/14/2022,Recruitment
FY23,MDM Engineer,ACS,City Limits,City Limits,Job Board,Other,English,45,Graystone,Placement Vendor,Q2,11/14/2022,12/14/2022,Recruitment
FY23,559053  Fair Hearings Agency Attorney,ACS,City Limits,City Limits,Job Board,Other,English,45,Graystone,Placement Vendor,Q2,11/22/2022,12/22/2022,Recruitment
FY23,559055  Fair Hearings Agency Attorney,ACS,City Limits,City Limits,Job Board,Other,English,45,Graystone,Placement Vendor,Q2,11/22/2022,12/22/2022,Recruitment
FY23,Deputy Director of Security,ACS,City Limits,City Limits,Job Board,Other,English,45,Graystone,Placement Vendor,Q2,12/13/2022,01/12/2023,Recruitment
FY23,SIP Planning Associate,ACS,City Limits,City Limits,Job Board,Other,English,45,Graystone,Placement Vendor,Q3,01/16/2023,02/15/2023,Recruitment
FY23,Cook Helper,ACS,City Limits,City Limits,Job Board,Other,English,45,Graystone,Placement Vendor,Q3,01/24/2023,02/23/2023,Recruitment
FY23,Senior Research Analyst,ACS,City Limits,City Limits,Job Board,Other,English,53,Graystone,Placement Vendor,Q3,02/07/2023,03/09/2023,Recruitment
FY23,"Deputy Director, Staffing Management",ACS,City Limits,City Limits,Job Board,Other,English,53,Graystone,Placement Vendor,Q3,03/02/2023,04/01/2023,Recruitment
FY23,Director of Security,ACS,City Limits,City Limits,Job Board,Other,English,53,Graystone,Placement Vendor,Q3,03/07/2023,04/06/2023,Recruitment
FY23,Audit Nurse,ACS,City Limits,City Limits,Job Board,Other,English,45,Graystone,Placement Vendor,Q4,05/02/2023,06/01/2023,Recruitment
FY23,Cook Helper,ACS,CRAIGSLIST.COM,Craigslist,Job Board,Other,English,101,Graystone,Placement Vendor,Q3,01/24/2023,02/23/2023,Recruitment
FY23,MDM Engineer,ACS,Dice.com Tech Jobs,Dice Job Board,Job Board,Other,English,92,Graystone,Placement Vendor,Q2,11/16/2022,12/16/2022,Recruitment
FY23,Executive Director of Intergovernmental Affairs,ACS,GOVERNMENTJOBS.COM,GOVERNMENTJOBS.COM,Job Board,Other,English,45,Graystone,Placement Vendor,Q2,10/28/2022,11/27/2022,Recruitment
FY23,ATTORNEY INTERNE,ACS,GOVTJOBS.COM,GOVERNMENTJOBS.COM,Job Board,Other,English,45,Graystone,Placement Vendor,Q2,10/27/2022,11/26/2022,Recruitment
FY23,Agency Attorney I,ACS,GOVTJOBS.COM,GOVERNMENTJOBS.COM,Job Board,Other,English,45,Graystone,Placement Vendor,Q2,10/27/2022,11/26/2022,Recruitment
FY23,ATTORNEY LEVEL 2,ACS,GOVTJOBS.COM,GOVERNMENTJOBS.COM,Job Board,Other,English,45,Graystone,Placement Vendor,Q2,10/27/2022,11/26/2022,Recruitment
FY23,"DIRECTOR, RESEARCH PARTNERSHIPS",ACS,GOVERNMENTJOBS.COM,GOVERNMENTJOBS.COM,Job Board,Other,English,45,Graystone,Placement Vendor,Q2,11/01/2022,12/01/2022,Recruitment
FY23,559053  Fair Hearings Agency Attorney,ACS,GOVTJOBS.COM,GOVERNMENTJOBS.COM,Job Board,Other,English,45,Graystone,Placement Vendor,Q2,11/22/2022,12/22/2022,Recruitment
FY23,559055  Fair Hearings Agency Attorney,ACS,GOVTJOBS.COM,GOVERNMENTJOBS.COM,Job Board,Other,English,45,Graystone,Placement Vendor,Q2,11/22/2022,12/22/2022,Recruitment
FY23,Deputy Director of Security,ACS,GOVERNMENTJOBS.COM,GOVERNMENTJOBS.COM,Job Board,Other,English,45,Graystone,Placement Vendor,Q2,12/13/2022,01/12/2023,Recruitment
FY23,Senior Research Analyst,ACS,GOVTJOBS.COM,GOVERNMENTJOBS.COM,Job Board,Other,English,45,Graystone,Placement Vendor,Q3,02/07/2023,03/09/2023,Recruitment
FY23,"Deputy Director, Staffing Management",ACS,GOVTJOBS.COM,GOVERNMENTJOBS.COM,Job Board,Other,English,45,Graystone,Placement Vendor,Q3,03/02/2023,04/01/2023,Recruitment
FY23,Director of Security,ACS,GOVTJOBS.COM,GOVERNMENTJOBS.COM,Job Board,Other,English,45,Graystone,Placement Vendor,Q3,03/07/2023,04/06/2023,Recruitment
FY23,Baby Boy Cruz,ACS,HARLEM COMMUNITY NEWSPAPERS,"Harlem Community Newspapers, Inc.",Newspaper (Print),Print,English,1957,Miller,Placement Vendor,Q4,05/25/2023,06/08/2023,Programmatic: Other
FY23,ATTORNEY INTERNE,ACS,"Idealist.org --action Without Borders, Inc.",Idealist,Job Board,Other,English,30,Graystone,Placement Vendor,Q2,10/27/2022,11/26/2022,Recruitment
FY23,Agency Attorney I,ACS,"Idealist.org --action Without Borders, Inc.",Idealist,Job Board,Other,English,30,Graystone,Placement Vendor,Q2,10/27/2022,11/26/2022,Recruitment
FY23,ATTORNEY LEVEL 2,ACS,"Idealist.org --action Without Borders, Inc.",Idealist,Job Board,Other,English,30,Graystone,Placement Vendor,Q2,10/27/2022,11/26/2022,Recruitment
FY23,Executive Director of Intergovernmental Affairs,ACS,"Idealist.org --action Without Borders, Inc.",Idealist,Job Board,Other,English,30,Graystone,Placement Vendor,Q2,10/28/2022,11/27/2022,Recruitment
FY23,"DIRECTOR, RESEARCH PARTNERSHIPS",ACS,"Idealist.org --action Without Borders, Inc.",Idealist,Job Board,Other,English,30,Graystone,Placement Vendor,Q2,11/01/2022,12/01/2022,Recruitment
FY23,RA SPECIALIST,ACS,"Idealist.org --action Without Borders, Inc.",Idealist,Job Board,Other,English,30,Graystone,Placement Vendor,Q2,11/14/2022,12/14/2022,Recruitment
FY23,MDM Engineer,ACS,"Idealist.org --action Without Borders, Inc.",Idealist,Job Board,Other,English,30,Graystone,Placement Vendor,Q2,11/14/2022,12/14/2022,Recruitment
FY23,559053  Fair Hearings Agency Attorney,ACS,"Idealist.org --action Without Borders, Inc.",Idealist,Job Board,Other,English,30,Graystone,Placement Vendor,Q2,11/22/2022,12/22/2022,Recruitment
FY23,559055  Fair Hearings Agency Attorney,ACS,"Idealist.org --action Without Borders, Inc.",Idealist,Job Board,Other,English,30,Graystone,Placement Vendor,Q2,11/22/2022,12/22/2022,Recruitment
FY23,Deputy Director of Security,ACS,"Idealist.org --action Without Borders, Inc.",Idealist,Job Board,Other,English,30,Graystone,Placement Vendor,Q2,12/13/2022,01/12/2023,Recruitment
FY23,SIP Planning Associate,ACS,"Idealist.org --action Without Borders, Inc.",Idealist,Job Board,Other,English,30,Graystone,Placement Vendor,Q3,01/16/2023,02/15/2023,Recruitment
FY23,Senior Research Analyst,ACS,"Idealist.org --action Without Borders, Inc.",Idealist,Job Board,Other,English,30,Graystone,Placement Vendor,Q3,02/07/2023,03/09/2023,Recruitment
FY23,"Deputy Director, Staffing Management",ACS,"Idealist.org --action Without Borders, Inc.",Idealist,Job Board,Other,English,30,Graystone,Placement Vendor,Q3,03/02/2023,04/01/2023,Recruitment
FY23,Director of Security,ACS,"Idealist.org --action Without Borders, Inc.",Idealist,Job Board,Other,English,30,Graystone,Placement Vendor,Q3,03/07/2023,04/06/2023,Recruitment
FY23,Audit Nurse,ACS,"Idealist.org --action Without Borders, Inc.",Idealist,Job Board,Other,English,30,Graystone,Placement Vendor,Q4,05/02/2023,06/01/2023,Recruitment
FY23,ATTORNEY INTERNE,ACS,iHireLegal.com,IHIRE,Job Board,Other,English,67,Graystone,Placement Vendor,Q2,10/27/2022,11/26/2022,Recruitment
FY23,Agency Attorney I,ACS,iHireLegal.com,IHIRE,Job Board,Other,English,67,Graystone,Placement Vendor,Q2,10/27/2022,11/26/2022,Recruitment
FY23,ATTORNEY LEVEL 2,ACS,iHireLegal.com,IHIRE,Job Board,Other,English,67,Graystone,Placement Vendor,Q2,10/27/2022,11/26/2022,Recruitment
FY23,RA SPECIALIST,ACS,iHireLegal.com,IHIRE,Job Board,Other,English,67,Graystone,Placement Vendor,Q2,11/14/2022,12/14/2022,Recruitment
FY23,559053  Fair Hearings Agency Attorney,ACS,iHireLegal.com,IHIRE,Job Board,Other,English,79,Graystone,Placement Vendor,Q2,11/22/2022,12/22/2022,Recruitment
FY23,559055  Fair Hearings Agency Attorney,ACS,iHireLegal.com,IHIRE,Job Board,Other,English,79,Graystone,Placement Vendor,Q2,11/22/2022,12/22/2022,Recruitment
FY23,ATTORNEY INTERNE,ACS,LAWJOBS.COM,Law Jobs,Job Board,Other,English,156,Graystone,Placement Vendor,Q2,10/26/2022,11/25/2022,Recruitment
FY23,Agency Attorney I,ACS,LAWJOBS.COM,Law Jobs,Job Board,Other,English,156,Graystone,Placement Vendor,Q2,10/26/2022,11/25/2022,Recruitment
FY23,ATTORNEY LEVEL 2,ACS,LAWJOBS.COM,Law Jobs,Job Board,Other,English,156,Graystone,Placement Vendor,Q2,10/26/2022,11/25/2022,Recruitment
FY23,559053  Fair Hearings Agency Attorney,ACS,LAWJOBS.COM,Law Jobs,Job Board,Other,English,156,Graystone,Placement Vendor,Q2,11/22/2022,12/22/2022,Recruitment
FY23,559055  Fair Hearings Agency Attorney,ACS,LAWJOBS.COM,Law Jobs,Job Board,Other,English,156,Graystone,Placement Vendor,Q2,11/22/2022,12/22/2022,Recruitment
FY23,562889 -  Attorney Intern,ACS,LAWJOBS.COM,Law Jobs,Job Board,Other,English,156,Graystone,Placement Vendor,Q3,01/26/2023,02/25/2023,Recruitment
FY23,Attorney Level 2,ACS,LAWJOBS.COM,Law Jobs,Job Board,Other,English,156,Graystone,Placement Vendor,Q3,01/30/2023,03/01/2023,Recruitment
FY23,565438 - Attorney Intern Fall 2023,ACS,LAWJOBS.COM,Law Jobs,Job Board,Other,English,156,Graystone,Placement Vendor,Q3,01/30/2023,03/01/2023,Recruitment
FY23,Audit Nurse,ACS,MINORITYNURSE.com,Minority Nurse,Job Board,Other,English,79,Graystone,Placement Vendor,Q4,05/02/2023,06/01/2023,Recruitment
FY23,Cook Helper,ACS,MONSTER.COM,Monster,Job Board,Other,English,101,Graystone,Placement Vendor,Q3,01/24/2023,02/23/2023,Recruitment
FY23,"Deputy Director, Staffing Management",ACS,MONSTER.COM,Monster,Job Board,Other,English,101,Graystone,Placement Vendor,Q3,03/02/2023,04/01/2023,Recruitment
FY23,Director of Security,ACS,MONSTER.COM,Monster,Job Board,Other,English,101,Graystone,Placement Vendor,Q3,03/07/2023,04/06/2023,Recruitment
FY23,Audit Nurse,ACS,National Medical Association - NHCN,National Healthcare Career Network,Job Board,Other,English,56,Graystone,Placement Vendor,Q2,11/02/2022,12/02/2022,Recruitment
FY23,ATTORNEY INTERNE,ACS,New York State Bar Association,New York State Bar Association,Job Board,Other,English,112,Graystone,Placement Vendor,Q2,10/27/2022,11/26/2022,Recruitment
FY23,Agency Attorney I,ACS,New York State Bar Association,New York State Bar Association,Job Board,Other,English,112,Graystone,Placement Vendor,Q2,10/27/2022,11/26/2022,Recruitment
FY23,ATTORNEY LEVEL 2,ACS,New York State Bar Association,New York State Bar Association,Job Board,Other,English,112,Graystone,Placement Vendor,Q2,10/27/2022,11/26/2022,Recruitment
FY23,559053  Fair Hearings Agency Attorney,ACS,New York State Bar Association,New York State Bar Association,Job Board,Other,English,112,Graystone,Placement Vendor,Q2,11/22/2022,12/22/2022,Recruitment
FY23,559055  Fair Hearings Agency Attorney,ACS,New York State Bar Association,New York State Bar Association,Job Board,Other,English,112,Graystone,Placement Vendor,Q2,11/22/2022,12/22/2022,Recruitment
FY23,562889 -  Attorney Intern,ACS,New York State Bar Association,New York State Bar Association,Job Board,Other,English,112,Graystone,Placement Vendor,Q3,01/26/2023,02/25/2023,Recruitment
FY23,Attorney Level 2,ACS,New York State Bar Association,New York State Bar Association,Job Board,Other,English,112,Graystone,Placement Vendor,Q3,01/26/2023,02/25/2023,Recruitment
FY23,565438 - Attorney Intern Fall 2023,ACS,New York State Bar Association,New York State Bar Association,Job Board,Other,English,112,Graystone,Placement Vendor,Q3,01/26/2023,02/25/2023,Recruitment
FY23,Audit Nurse,ACS,NURSE.COM,Nurse.com,Job Board,Other,English,79,Graystone,Placement Vendor,Q4,05/02/2023,06/01/2023,Recruitment
FY23,Collins Children,ACS,BRONX TIMES REPORTER,Schneps Media,Newspaper (Print),Print,English,1606,Miller,Placement Vendor,Q1,07/08/2022,07/29/2022,Programmatic: Other
FY23,Zito,ACS,BRONX TIMES REPORTER,Schneps Media,Newspaper (Print),Print,English,1204,Miller,Placement Vendor,Q1,07/15/2022,07/29/2022,Programmatic: Other
FY23,Williams Children,ACS,BRONX TIMES REPORTER,Schneps Media,Newspaper (Print),Print,English,1606,Miller,Placement Vendor,Q3,03/03/2023,03/24/2023,Programmatic: Other
FY23,O. Jones,ACS,QUEENS COURIER,Schneps Media,Newspaper (Print),Print,English,1648,Miller,Placement Vendor,Q3,03/02/2023,03/23/2023,Programmatic: Other
FY23,O. Jones,ACS,AMNY-METRO,Schneps Media,Newspaper (Print),Print,English,4486,Miller,Placement Vendor,Q3,03/03/2023,03/24/2023,Programmatic: Other
FY23,Samuels Children,ACS,BRONX TIMES REPORTER,Schneps Media,Newspaper (Print),Print,English,803,Miller,Placement Vendor,Q4,04/07/2023,04/14/2023,Programmatic: Other
