Permit_Type,ACCELA,Facility_Name,ADDRESS_ No,ADDRESS_St,BO,ZIP,Inspection_Date,Inspection_Type,# of PHH Violations,# of All Violations,# of Critical Violations,# of General Violations,DOCKET,Lat,Long,Community Board,Council District,Census tract,Boro-Block-Lot,BIN,NTA,NTA Code
Indoor,50060587,M PLAZA L.P.,482,W 43RD ST,MA,10036,09/15/2022,Routine Inspection,,0,,,,40.760197,-73.994759,104,03,012100,1010520001,1083746,,MN15
Outdoor,50060732,420 KENT AVENUE LLC,416,KENT AVE,BK,11249,08/25/2022,Routine Inspection,0,1,0,1,,40.710219,-73.968532,301,33,054900,3021280005,3418297,,BK73
Outdoor,50060733,420 KENT AVENUE LLC,420,KENT AVE,BK,11249,08/25/2022,Routine Inspection,,0,,,,40.709915,-73.968525,301,33,054700,3021340056,3425676,,BK73
Outdoor,50061551,"BROADWAY 371, LLC/ELAD GROUP",371,BROADWAY,MA,10013,08/18/2022,Routine Inspection,,0,,,,40.717744,-74.003297,101,01,003300,1001757506,1001937,,MN24
Indoor,50063367,THE GREENWICH LANE,155,W 11TH ST,MA,10011,03/07/2022,Routine Inspection,1,1,0,0,,40.736016,-73.999733,102,03,007100,1006077503,1089806,,MN23
Indoor,50063494,10 MADISON SQUARE WEST,10,MADISON SQUARE WEST,MA,10010,09/13/2022,Routine Inspection,,0,,,,40.742787,-73.989206,105,03,005800,1008267501,1015602,,MN13
Indoor,50063837,EVANS TOWER CONDOMINIUM ASSOCIATION,171,E 84TH ST,MA,10028,02/14/2022,Routine Inspection,,0,,,,40.777843,-73.955722,108,04,014801,1015137501,1047704,,MN40
Indoor,50063893,685 FIRST REALTY COMPANY  LLC,685,1ST AVE,MA,10016,11/12/2022,Routine Inspection,,0,,,,40.747019,-73.971171,106,04,008800,1009457502,1089769,,MN19
Indoor,50064028,"EQUINOX BEDFORD AVE, INC.",246,BEDFORD AVE,BK,11249,12/06/2022,Routine Inspection,,0,,,,40.715854,-73.959865,301,34,055300,3023510006,3062367,,BK73
Indoor,50064634,WEST 60TH REALTY LLC,175,W 60TH ST,MA,10023,03/03/2022,Routine Inspection,0,1,0,1,,40.770676,-73.98623,107,06,014500,1011320021,1088863,,MN14
Outdoor,50066011,"LIC DEVELOPMENT OWNER, LP",28-30,JACKSON  AVENUE,QU,11101,08/11/2022,Routine Inspection,0,2,0,2,,40.748642,-73.938133,402,26,001900,4002640017,4596921,,QN31
Indoor,50066012,"LIC DEVELOPMENT OWNER, LP",28-30,JACKSON AVENUE,QU,11101,03/09/2022,Routine Inspection,,0,,,,40.748642,-73.938133,402,26,001900,4002640017,4596921,,QN31
Indoor,50066025,TOLL GC LLC,91,LEONARD ST,MA,10013,04/11/2022,Routine Inspection,1,1,0,0,04034-22S0,40.717132,-74.004574,101,01,003300,1001747506,1090477,,MN24
Indoor,50066566,SKY VIEW PARC HOME OWNERS ASSOCIATION INC,13107,40TH RD,QU,11354,12/07/2022,Routine Inspection,2,2,0,0,15036-22S0,40.755942,-73.836043,407,20,087100,4050667501,4534020,,QN22
Outdoor,50066568,SKY VIEW HOME OWNERS ASSOCIATION INC,13107,40TH RD,QU,11354,08/03/2022,Routine Inspection,,0,,,,40.755942,-73.836043,407,20,087100,4050667501,4534020,,QN22
Indoor,50067069,EVERGREEN GARDENS I LLC,123,MELROSE ST,BK,11206,10/11/2022,Routine Inspection,,0,,,,40.699546,-73.933007,304,34,039100,3031520048,3426367,,BK78
Indoor,50067822,551 WEST 21 ST CONDOMINIUM,551,W 21ST ST,MA,10011,12/07/2022,Routine Inspection,0,1,0,1,,40.747053,-74.006626,104,03,009900,1006937502,1089871,,MN13
Indoor,50068726,122-130 EAST 23RD JV LLC,122,E 23RD ST,MA,10010,11/15/2022,Routine Inspection,,0,,,,40.739743,-73.98532,105,02,006800,1008787501,1018013,,MN21
Indoor,50068748,HENRY V MURRAY SENIOR LLC,111,MURRAY ST,MA,10007,10/26/2022,Routine Inspection,0,2,0,2,,40.715111,-74.012528,101,01,002100,1001427503,1089698,,MN24
Outdoor,50069486,GREENPOINT MCGUINNESS LLC,211,MCGUINNESS BLVD,BK,11222,08/25/2022,Routine Inspection,0,1,0,1,,40.729525,-73.95097,301,33,057500,3025767501,3379800,,BK76
Indoor,50069671,BROOKLYN PIER 1 HOTEL OWNER LP,60,FURMAN ST,BK,11201,12/15/2022,Routine Inspection,0,1,0,1,,40.701586,-73.995528,302,33,000100,3001990010,3401675,,BK09
Outdoor,50070019,"500 METROPOLITAN OWNER, LLC",500,METROPOLITAN AVE,BK,11211,08/23/2022,Routine Inspection,0,3,1,2,10940-22S0,40.714056,-73.952244,301,34,051300,3023717501,3413996,,BK73
Outdoor,50070050,1809 EMMONS INC.,1809,EMMONS AVE,BK,11235,08/12/2022,Routine Inspection,,0,,,,40.583478,-73.950228,315,48,060800,3087737501,3247051,,BK17
Indoor,50070236,301 WEST 53RD STREET CONDOMINUM / ATTN: PETER METTHAM,301,W 53RD ST,MA,10019,06/15/2022,Routine Inspection,,0,,,,40.764357,-73.985156,104,03,013300,1010447501,1025400,,MN15
Indoor,50070333,BRIDGE LAND VESTRY LLC,264,WEST ST,MA,10013,02/23/2022,Routine Inspection,0,1,1,0,01806-22S0,40.723077,-74.011574,101,01,003900,1002237502,1090656,,MN24
Outdoor,50070349,LAM GEN 25 LLC,112,W 25TH ST,MA,10001,08/12/2022,Routine Inspection,,0,,,,40.744461,-73.992544,104,03,009100,1008000049,1014986,,MN13
Indoor,50070668,MADISON 33 OWNERS LLC,172,MADISON AVE,MA,10016,11/30/2022,Routine Inspection,0,1,0,1,,40.747203,-73.983381,105,04,007400,1008637502,1089701,,MN17
Outdoor,50070703,QNS44 CONDOMINIUM INCORPORATED,1112,44TH DR,QU,11101,08/25/2022,Routine Inspection,2,8,2,4,11060-22S0,40.748466,-73.949289,402,26,000700,4000527503,4000442,,QN31
Indoor,50071112,RCB1 NOMINEE LLC,400,W 61ST STREET,MA,10069,04/25/2022,Routine Inspection,0,2,0,2,,40.773501,-73.991086,107,06,015100,1011717513,1089723,,MN14
Indoor,50071503,TRILOGY SPA OPERATIONS LLC,768,5TH AVE,MA,10019,12/11/2022,Routine Inspection,0,2,1,1,15199-22S0,40.764155,-73.973951,105,04,011201,1012747504,1035253,,MN17
Outdoor,50071528,BOP GREENPOINT F LLC,2,BLUE SLIP,BK,11222,08/19/2022,Routine Inspection,,0,,,,40.736157,-73.95903,301,33,056300,3024720050,3428938,,BK76
Indoor,50071578,ARLINGTON SUITES LLC,3220,ARLINGTON AVE,BX,10463,11/30/2022,Routine Inspection,0,1,1,0,14673-22S0,40.884593,-73.912312,208,11,029700,2057887501,2109355,,BX29
Indoor,50071931,CABGRAM DEVELOPERS,230,E 20TH ST,MA,10003,10/24/2022,Routine Inspection,0,1,0,1,,40.736484,-73.983394,106,02,006400,1009007501,1090877,,MN21
Indoor,50072896,"ALGIN MANAGEMENT CO., LLC",242,W 53RD ST,MA,10019,09/09/2022,Routine Inspection,0,2,1,1,,40.763767,-73.983799,105,03,013100,1010240052,1090495,,MN17
Indoor,50072952,123 LINDEN LLC,123,LINDEN BLVD,BK,11226,11/20/2022,Routine Inspection,0,2,2,0,14460-22S0,40.652415,-73.954227,317,40,082200,3050840084,3116661,,BK60
Indoor,50073332,"FEDERATION OF ITALIAN AMERICAN ORGANIZATIONS OF BROOKLYN, LTD.",8711,18TH AVE,BK,11214,11/20/2022,Routine Inspection,,0,,,,40.605142,-74.004851,311,38,027800,3063690001,3166588,,BK28
Outdoor,50073416,NYCP&R/CAPTAIN WILLIAM HARRY THOMPSON PLAYGROUND,1561,E 174TH ST,BX,10472,08/03/2022,Routine Inspection,0,2,1,1,,40.83415,-73.878442,209,17,006200,,,,BX08
Indoor,50073757,NEVINS STREET OWNER LLC,10,NEVINS ST,BK,11217,11/19/2022,Routine Inspection,0,1,0,1,,40.688429,-73.981084,302,33,003700,3001617501,3426629,,BK38
Indoor,50073763,56 LEONARD STREET CONDOMINIUM,56,LEONARD ST,MA,10013,10/29/2022,Routine Inspection,,0,,,,40.717898,-74.006273,101,01,003300,1001767501,1088646,,MN24
Indoor,50073804,PARK ROW 23 OWNERS LLC,25,PARK ROW,MA,10038,10/30/2022,Routine Inspection,0,2,1,1,14116-22S0,40.711601,-74.00742,101,01,001501,1000907504,1090475,,MN25
Outdoor,50073992,SOHO DUMBO LLC,55,WATER ST,BK,11201,08/03/2022,Routine Inspection,,0,,,,40.703301,-73.992047,302,33,002100,3000260050,3000019,,BK38
Indoor,50074559,22-12 JACKSON OWNER LLC,2218,JACKSON AVE,QU,11101,04/07/2022,Routine Inspection,0,1,0,1,,40.745292,-73.946964,402,26,001900,4000727501,4618084,,QN31
Indoor,50074835,"LOTTE HOTEL NEW YORK PALACE, LLC",455,MADISON AVE,MA,10022,12/20/2022,Routine Inspection,0,3,1,2,15645-22S0,40.758114,-73.975393,105,04,010200,1012860021,1035462,,MN17
Indoor,50074899,90 LEXINGTON AVENUE CONDOMINIUM,90,LEXINGTON AVE,MA,10016,10/18/2022,Routine Inspection,1,2,1,0,12958-22S0,40.741751,-73.983126,105,02,006800,1008827502,1018153,,MN21
Outdoor,50075128,180 WATER LLC,180,WATER ST,MA,10038,08/04/2022,Routine Inspection,,0,,,,40.706787,-74.005114,101,01,001502,1000700032,1001134,,MN25
Indoor,50075320,"EQUINOX 55 WASHINGTON, INC.",117,FRONT ST,BK,11201,12/21/2022,Routine Inspection,0,2,0,2,,40.702505,-73.988769,302,33,002100,3000380001,3000088,,BK38
Outdoor,50076065,147-149 MCCARREN LLC,160,N 12TH ST,BK,11249,08/25/2022,Routine Inspection,,0,,,,40.72101,-73.955428,301,33,051700,3022900010,3061538,,BK73
Indoor,50076072,"BUSHWICK HOLDINGS 1, LLC",10,MONTIETH ST,BK,11206,12/29/2022,Routine Inspection,,0,,,,40.701357,-73.936496,304,34,039100,3031410001,3426398,,BK78
Indoor,50076629,130 WILLIAM STREET ASSOCIATES LLC,130,WILLIAM ST,MA,10038,10/21/2022,Routine Inspection,0,1,1,0,,40.709235,-74.006741,101,01,001502,1000777501,1090562,,MN25
Indoor,50077058,CRUNCH LLC,140,BROADWAY,MA,10005,11/12/2022,Routine Inspection,,0,,,,40.709043,-74.010626,101,01,000700,1000480001,1001027,,MN25
Indoor,50078063,QC TERME NY LLC,112,ANDES ROAD,MA,10004,12/01/2022,Routine Inspection,1,6,2,3,14736-22S0,40.692659,-74.017886,101,01,000500,1000010111,1086430,,MN99
Indoor,50078525,"IMAGINE SWIMMING, INC.",752,W END AVE,MA,10025,10/20/2022,Routine Inspection,,0,,,,40.795667,-73.972895,107,07,018300,1018687502,1056066,,MN12
Indoor,50078922,ONE WEST END AVENUE CONDOMINIUM,1,W END AVE,MA,10023,12/19/2022,Routine Inspection,,0,,,,40.771821,-73.990313,107,06,015100,1011717511,1088869,,MN14
Indoor,50078970,"EQUINOX HUDSON YARDS, INC.",560,W 33RD ST,MA,10001,12/01/2022,Routine Inspection,2,3,0,1,14731-22S0,40.754807,-74.001758,104,03,009900,1007027503,1091590,,MN13
Outdoor,50078980,"EQUINOX HUDSON YARDS, INC.",560,W 33RD ST,MA,10001,08/26/2022,Routine Inspection,,0,,,,40.754807,-74.001758,104,03,009900,1007027503,1091590,,MN13
Indoor,50080088,UNKNOWN BATHS LLC,103,N 10TH ST,BK,11249,10/07/2022,Routine Inspection,,0,,,,40.720662,-73.957802,301,33,055700,3022967501,3329929,,BK73
Outdoor,50082223,LINDSAY PARK HOUSING CORP,67,MANHATTAN AVE,BK,11206,08/25/2022,Routine Inspection,0,2,0,2,,40.704699,-73.944525,301,34,049100,3030780001,3338422,,BK90
Indoor,50082906,SWIM GOWANUS LLC,620,DEGRAW ST,BK,11217,03/31/2022,Routine Inspection,0,1,1,0,,40.679174,-73.98348,306,39,011900,3004270021,3006992,,BK37
Indoor,50110598,THE WOOLWORTH TOWER RESIDENCES,2,PARK PL,MA,10007,11/23/2022,Routine Inspection,,0,,,,40.712633,-74.00791,101,01,002100,1001237501,1087167,,MN24
Indoor,50083193,18TH HIGHLINE ASSOCIATES LLC,501,W 18TH ST,MA,10011,06/16/2022,Routine Inspection,2,4,1,1,07977-22S0,40.744681,-74.006449,104,03,009900,1006907503,1091605,,MN13
Indoor,50083440,THE KENT CONDOMINIUM,200,E 95TH ST,MA,10128,11/09/2022,Routine Inspection,,0,,,,40.784472,-73.949745,108,05,015601,1015407503,1090563,,MN32
Outdoor,50083488,ALGIN MANAGEMENT CO. LLC,242,W 53RD ST,MA,10019,08/10/2022,Routine Inspection,0,1,0,1,,40.763767,-73.983799,105,03,013100,1010240052,1090495,,MN17
Indoor,50083719,70 CHARLTON APARTMENT CORPORATION,70,CHARLTON ST,MA,10014,10/20/2022,Routine Inspection,0,2,0,2,,40.727246,-74.006559,102,03,003700,1005800011,1090545,,MN24
Outdoor,50085287,QPP LLC,2923,QUEENS PLAZA NORTH,QU,11101,08/17/2022,Routine Inspection,0,1,1,0,10713-22S0,40.749926,-73.936652,401,26,003300,4004030011,4597154,,QN68
Indoor,50085943,CBCS WASHINGTON STREET LP,456,GREENWICH ST,MA,10013,12/21/2022,Routine Inspection,0,5,1,4,15706-22S0,40.723571,-74.009521,101,01,003900,1002240032,1002927,,MN24
Outdoor,50086467,123 LINDEN LLC,123,LINDEN BLVD,BK,11226,09/01/2022,Routine Inspection,1,7,3,3,11339-22S0,40.652415,-73.954227,317,40,082200,3050840084,3116661,,BK60
Indoor,50086626,565 BROOME SOHO CONDOMINIUM,565,BROOME ST,MA,10013,09/15/2022,Routine Inspection,,0,,,,40.72437,-74.00579,102,01,003700,1004777502,1089738,,MN24
Indoor,50087221,TOLL NY II LLC,77,CHARLTON ST,MA,10014,04/13/2022,Routine Inspection,0,3,2,1,04138-22S0,40.727266,-74.006588,102,03,003700,1005807502,1009751,,MN24
Indoor,50087847,"EQUINOX  670 BROADWAY, INC.",670,BROADWAY,MA,10012,03/28/2022,Routine Inspection,,0,,,,40.727299,-73.995183,102,02,005502,1005300001,1008467,,MN23
Outdoor,50088477,138 WILLOUGHBY APARTMENT CORP,138,WILLOUGHBY ST,BK,11201,08/23/2022,Routine Inspection,,0,,,,40.692069,-73.983135,302,33,001500,3001497502,3396962,,BK38
Indoor,50089323,ALBERT EINSTEIN COLLEGE OF MEDICINE,1300,MORRIS PARK AVE,BX,10461,01/18/2022,Routine Inspection,,0,,,,40.851182,-73.844823,211,13,028600,2041170001,2097363,,BX37
Indoor,50089776,443 GREENWICH STREET,443,GREENWICH ST,MA,10013,10/25/2022,Routine Inspection,2,4,0,2,13365-22S0,40.722882,-74.009625,101,01,003900,1002227503,1002856,,MN24
Indoor,50090731,PTH 40 ASSOCIATESLLC,18,W 40TH ST,MA,10018,03/24/2022,Routine Inspection,0,1,1,0,03225-22S0,40.752535,-73.982647,105,04,008400,1008417501,1090404,,MN17
Indoor,50091148,FITNESS INTERNATIONAL LLC,2600,HYLAN BLVD,SI,10306,06/01/2022,Routine Inspection,1,3,1,1,07080-22S0,40.568956,-74.111275,502,50,012804,5039690001,5171653,,SI45
Indoor,50091148,FITNESS INTERNATIONAL LLC,2600,HYLAN BLVD,SI,10306,10/24/2022,Routine Inspection,1,4,1,2,13291-22S0,40.568956,-74.111275,502,50,012804,5039690001,5171653,,SI45
Indoor,50091165,520 PARK AVENUE CONDOMINIUM,520,PARK AVE,MA,10065,11/13/2022,Routine Inspection,0,3,2,1,14230-22S0,40.763943,-73.970041,108,04,011401,1013757504,1090526,,MN40
Outdoor,50091247,260 KENT LLC,266,KENT AVE,BK,11249,08/25/2022,Routine Inspection,2,3,0,1,11067-22S0,40.715873,-73.966268,301,33,055100,3024147501,3425049,,BK73
Indoor,50091380,100 BARROW STREET APARTMENT CORP,100,BARROW ST,MA,10014,11/26/2022,Routine Inspection,,0,,,,40.731775,-74.007631,102,03,006900,1006050001,1089890,,MN23
Indoor,50091656,YOUNG MEN'S CHRISTIAN ASSOCIATION OF GREATER NEW YORK,1250,E 229TH ST,BX,10466,04/14/2022,Routine Inspection,0,1,0,1,,40.88372,-73.842046,212,12,046000,2049052002,2129603,,BX03
Indoor,50092066,CADMAN ASSOCIATES LLC,1,CLINTON ST,BK,11201,12/14/2022,Routine Inspection,0,4,1,3,15398-22S0,40.696154,-73.991367,302,33,000502,3002397501,3421378,,BK09
Indoor,50092089,RG-29TH STREET OWNER I LLC,30,E 29TH ST,MA,10016,11/12/2022,Routine Inspection,0,1,0,1,,40.744485,-73.984926,105,02,007400,1008587504,1091575,,MN17
Indoor,50092131,"EQUINOX 196  ORCHARD STREET, INC",200,ORCHARD ST,MA,10002,01/03/2022,Routine Inspection,,0,,,,40.722396,-73.988015,103,01,003001,1004127503,1090375,,MN27
Outdoor,50092731,THORJAMES HOTEL LEASECO LLC,27,GRAND ST,MA,10013,07/11/2022,Routine Inspection,2,4,0,2,08789-22S0,40.722827,-74.004726,102,01,004700,1002270052,1088405,,MN24
Outdoor,50092953,"ONE QPS OWNER, LLC / ATTN: SORAIDA BELLAMY",2301,42ND RD,QU,11101,08/24/2022,Routine Inspection,0,1,0,1,,40.750431,-73.942055,402,26,001900,4004250001,4617250,,QN31
Indoor,50094113,BSC OWNER LLC,1540,VAN SICLEN AVE,BK,11239,11/01/2022,Routine Inspection,,0,,,,40.648214,-73.877613,305,42,105801,3044520200,3343608,,BK93
Indoor,50094268,"2 EAST 15TH STREET, LLC",2,E 15TH ST,MA,10003,01/05/2022,Routine Inspection,,0,,,,40.736565,-73.992837,105,02,005200,1008420042,1016068,,MN13
Outdoor,50094353,SAFON OWNER LLC,2,WASHINGTON ST,MA,10004,08/26/2022,Routine Inspection,,0,,,,40.705126,-74.015592,101,01,001300,1000157501,1087080,,MN25
Indoor,50095062,ONE BOERUM DEVELOPMENT PARTNERS LLC,7,BOERUM PL,BK,11201,06/02/2022,Routine Inspection,0,1,0,1,,40.691784,-73.989095,302,33,003700,3001530003,3000417,,BK38
Indoor,50095102,EQUINOX MADISON AVENUE INC,30,E 85TH ST,MA,10028,01/27/2022,Routine Inspection,1,1,0,0,00795-22S0,40.780356,-73.959754,108,04,015001,1014967501,1072932,,MN40
Indoor,50096316,INSPIR CARNEGIE HILL LLC,1802,2ND AVE,MA,10128,03/31/2022,Routine Inspection,0,1,0,1,,40.782597,-73.948292,108,05,015400,1015560052,1090662,,MN32
Indoor,50096718,"BDG GOTHAM RESIDENTIAL, LLC",158,E 126TH ST,MA,10035,03/24/2022,Routine Inspection,,0,,,,40.804779,-73.936315,111,08,019600,1017747501,1090966,,MN34
Indoor,50097030,EQUINOX 315 PARK AVENUE SOUTH INC,315,PARK AVE S,MA,10010,02/17/2022,Routine Inspection,,0,,,,40.74061,-73.986045,105,02,006800,1008790081,1018063,,MN21
Indoor,50098607,"80 ADAMS PROPERTY OWNER, LLC",98,FRONT ST,BK,11201,10/20/2022,Routine Inspection,0,1,0,1,,40.702491,-73.988874,302,33,002100,3000517502,3346567,,BK38
Outdoor,50098660,"85 JAY STREET (BROOKLYN), LLC",85,JAY ST,BK,11201,07/21/2022,Routine Inspection,,0,,,,40.702063,-73.986703,302,33,002100,3000547501,3425091,,BK38
Indoor,50099088,SKYLINE TOWER CONDOMINIUM,23-15,44th Drive,QU,11101,09/15/2022,Routine Inspection,,0,,,,40.747575,-73.94454,402,26,001900,4004377502,4005166,,QN31
Indoor,50099129,"25  WEST 14 STREET  GYM, LLC",25,West 14TH ST,MA,10011,12/11/2022,Routine Inspection,0,2,1,1,15198-22S0,40.736447,-73.994649,105,02,005400,1008160023,1015290,,MN13
Indoor,50099419,"22ND AND 11TH ASSOCIATES, LLC",555,W 22ND ST,MA,10011,09/22/2022,Routine Inspection,0,2,1,1,11996-22S0,40.74756,-74.005919,104,03,009900,1006947502,1012322,,MN13
Indoor,50101609,BEDFORD COURTS I LLC,1561,BEDFORD AVE,BK,11225,11/01/2022,Routine Inspection,,0,,,,40.668945,-73.955683,309,35,032300,3012740001,3033161,,BK63
Outdoor,50101708,"560 SEVENTH AVENUE OWNER PRIMARY, LLC",560,7TH AVE,MA,10018,08/18/2022,Routine Inspection,,0,,,,40.754847,-73.987833,105,03,011300,1010120029,1090579,,MN17
Outdoor,50102899,BOP 2401 THIRD AVENUE OWNER LLC,2401,3RD AVE,BX,10451,08/12/2022,Routine Inspection,0,1,0,1,,40.808286,-73.931102,201,08,005100,2023190002,2129132,,BX39
Indoor,50103031,SOUTH AND CHERRY CONDOMINIUM,252,SOUTH STREET,MA,10002,06/15/2022,Routine Inspection,0,1,0,1,,40.710627,-73.991462,103,01,000600,1002487501,1089771,,MN28
Indoor,50103416,M3 CONCEPT INC,730,5TH AVE,MA,10019,12/20/2022,Routine Inspection,0,1,0,1,,40.762635,-73.974222,105,04,011201,1012727503,1035053,,MN17
Indoor,50103515,"LTF CLUB OPERATIONS COMPANY, INC.",60,W 23RD ST,MA,10010,02/16/2022,Routine Inspection,3,7,2,2,0152722S0,40.742321,-73.991429,105,03,005800,1008240011,1086050,,MN13
Outdoor,50104516,662 PACIFIC STREET LLC,662,PACIFIC ST,BK,11217,08/19/2022,Routine Inspection,,0,,,,40.682164,-73.973492,308,35,016100,0000000000,3428828,,BK64
Outdoor,50104998,646 11TH OWNER LLC,547,W 47TH ST,MA,10036,07/18/2022,Routine Inspection,0,1,0,1,,40.763527,-73.994852,104,03,012900,1010767502,1026982,,MN15
Indoor,50105981,JARDIM CONDOMINIUM,530,W 28TH ST,MA,10001,12/03/2022,Routine Inspection,,0,,,,40.751357,-74.003158,104,03,009900,1006997504,1000000,,MN13
Indoor,50107161,1010 PARK AVENUE CONDOMINIUM,1010,PARK AVE,MA,10028,11/13/2022,Routine Inspection,0,2,1,1,14215-22S0,40.779304,-73.957852,108,04,015001,1014967502,1046823,,MN40
Outdoor,50107396,18 SIXTH AVE,18,6TH AVE,BK,11217,09/22/2022,Routine Inspection,0,1,0,1,,40.68251,-73.973885,302,35,012902,3011180004,3426300,,BK37
Indoor,50108570,"LTF CLUB OPERATION COMPANY, INC.",62,COOPER SQ,MA,10003,06/15/2022,Routine Inspection,,0,,,,40.729061,-73.990969,102,02,005700,1005447501,1008776,,MN23
Outdoor,50108961,"ASTORIA WEST, LLC",3077,VERNON BLVD,QU,11102,08/24/2022,Routine Inspection,0,1,0,1,,40.770027,-73.934709,401,22,008100,4005040122,4000000,,QN71
Indoor,50109719,"LTF CLUB OPERATIONS COMPANY, INC",1,WALL ST,MA,10005,11/17/2022,Routine Inspection,0,2,1,1,14397-22S0,40.707278,-74.01191,101,01,000700,1000237501,1000815,,MN25
Outdoor,50110105,96 WYTHE ACQUISITION LLC,96,WYTHE AVE,BK,11249,08/06/2022,Routine Inspection,,0,,,,40.721489,-73.958332,301,33,055700,3022950021,3425311,,BK73
Indoor,50113969,WEST SHORE FITNESS,300,W SERVICE RD,SI,10314,11/02/2022,Routine Inspection,0,1,1,0,13825-22S0,40.586277,-74.193279,502,50,029102,5027050135,5041895,,SI05
Indoor,50117307,BRODCOM WEST DEVELOPMENT COMPANY LLC,75,WEST END AVE,MA,10023,08/31/2022,Routine Inspection,,0,,,,40.77422,-73.989237,107,06,015100,1011710063,1088686,,MN14
Indoor,50117873,11 HOYT CONDOMINIUM,11,HOYT ST,BK,11201,05/31/2022,Routine Inspection,0,1,0,1,,40.690216,-73.985327,302,33,003700,3001577501,3329438,,BK38
Indoor,50118366,LIGHTHOUSE CONDOMINIUM ASSOCIATION  INC,1769,E 13TH ST,BK,11229,08/20/2022,Routine Inspection,,0,,,,40.606486,-73.959733,315,48,055400,3067967502,3425656,,BK25
Outdoor,50118865,BENJAMIN BEECHWOOD TIDES 2 LLC,6804,TIDES RD,QU,11692,07/21/2022,Routine Inspection,0,2,0,2,,40.588709,-73.797403,414,31,095400,4159390106,4607872,,QN12
Outdoor,50120870,2 COOPER HOLDINGS LP,2,COOPER SQ,MA,10003,07/28/2022,Routine Inspection,,0,,,,40.727159,-73.991539,102,02,005700,1005440065,1088207,,MN23
Indoor,50121392,"IMAGINE SWIMMING, INC.",1561,BEDFORD AVE,BK,11225,08/13/2022,Routine Inspection,,0,,,,40.668945,-73.955683,309,35,032300,3012740001,3033161,,BK63
Outdoor,50122694,658 SUNRISE CLUB INC.,658,CLARENCE AVE,BX,10465,08/16/2022,Routine Inspection,0,1,1,0,10666-22S0,40.82879,-73.81436,210,13,016000,2054860029,2097560,,BX52
Indoor,50123388,MOISE SAFRA COMMUNITY CENTER,130,E 82ND ST,MA,10028,03/24/2022,Routine Inspection,0,2,1,1,,40.777095,-73.957925,108,04,014000,1015100057,1090553,,MN40
Outdoor,50123566,"LKH 23RD, LLC",150,E 23RD ST,MA,10010,08/30/2022,Routine Inspection,0,2,2,0,,40.739133,-73.983881,106,02,006800,1008787502,1090665,,MN21
Indoor,50125380,CENTRAL PARK TOWER CONDOMINIUM,217,W 57TH ST,MA,10019,03/29/2022,Routine Inspection,0,2,1,1,,40.76593,-73.980979,105,06,013700,1010297502,1090180,,MN17
